global_step,desired_contact_states/foot_indices/FR,desired_contact_states/foot_indices/FL,desired_contact_states/foot_indices/RR,desired_contact_states/foot_indices/RL,desired_contact_states/clock_inputs/FL,desired_contact_states/clock_inputs/RR,desired_contact_states/clock_inputs/RL,desired_contact_states/clock_inputs/FR,desired_contact_states/desired_contact_states/FR,desired_contact_states/desired_contact_states/FL,desired_contact_states/desired_contact_states/RR,desired_contact_states/desired_contact_states/RL
0,0.03333333507180214,0.5333333611488342,0.5333333611488342,0.03333333507180214,-0.20791201293468475,-0.20791201293468475,0.20791171491146088,0.20791171491146088,0.6830306649208069,0.31696921586990356,0.31696921586990356,0.6830306649208069
1,0.06666667014360428,0.5666667222976685,0.5666667222976685,0.06666667014360428,-0.40673694014549255,-0.40673694014549255,0.40673667192459106,0.40673667192459106,0.8295481204986572,0.17045170068740845,0.17045170068740845,0.8295481204986572
2,0.10000000894069672,0.6000000834465027,0.6000000834465027,0.10000000894069672,-0.5877857208251953,-0.5877857208251953,0.5877853035926819,0.5877853035926819,0.9234362840652466,0.07656353712081909,0.07656353712081909,0.9234362840652466
3,0.13333334028720856,0.6333334445953369,0.6333334445953369,0.13333334028720856,-0.7431454062461853,-0.7431454062461853,0.7431449294090271,0.7431449294090271,0.9715943932533264,0.02840551733970642,0.02840551733970642,0.9715943932533264
4,0.1666666716337204,0.6666668057441711,0.6666668057441711,0.1666666716337204,-0.8660259246826172,-0.8660259246826172,0.866025447845459,0.866025447845459,0.9913650751113892,0.00863492488861084,0.00863492488861084,0.9913650751113892
5,0.20000000298023224,0.7000001668930054,0.7000001668930054,0.20000000298023224,-0.9510568976402283,-0.9510568976402283,0.9510565400123596,0.9510565400123596,0.9978535175323486,0.002146482467651367,0.002146482467651367,0.9978535175323486
6,0.23333333432674408,0.7333335280418396,0.7333335280418396,0.23333333432674408,-0.9945220351219177,-0.9945220351219177,0.9945219159126282,0.9945219159126282,0.9995014071464539,0.000498652458190918,0.000498652458190918,0.9995014071464539
7,0.2666666805744171,0.7666668891906738,0.7666668891906738,0.2666666805744171,-0.9945217370986938,-0.9945217370986938,0.9945218563079834,0.9945218563079834,0.9995014071464539,0.0004986822605133057,0.0004986822605133057,0.9995014071464539
8,0.30000001192092896,0.8000002503395081,0.8000002503395081,0.30000001192092896,-0.9510560631752014,-0.9510560631752014,0.9510564804077148,0.9510564804077148,0.9978535175323486,0.002146512269973755,0.002146512269973755,0.9978535175323486
9,0.3333333432674408,0.8333336114883423,0.8333336114883423,0.3333333432674408,-0.8660244941711426,-0.8660244941711426,0.8660253882408142,0.8660253882408142,0.9913650751113892,0.008635014295578003,0.008635014295578003,0.9913650751113892
10,0.36666667461395264,0.8666669726371765,0.8666669726371765,0.36666667461395264,-0.7431434392929077,-0.7431434392929077,0.7431448101997375,0.7431448101997375,0.9715943336486816,0.02840590476989746,0.02840590476989746,0.9715943336486816
11,0.4000000059604645,0.9000003337860107,0.9000003337860107,0.4000000059604645,-0.5877833962440491,-0.5877833962440491,0.5877852439880371,0.5877852439880371,0.9234362840652466,0.07656440138816833,0.07656440138816833,0.9234362840652466
12,0.4333333373069763,0.933333694934845,0.933333694934845,0.4333333373069763,-0.40673431754112244,-0.40673431754112244,0.4067365825176239,0.4067365825176239,0.8295480608940125,0.17045322060585022,0.17045322060585022,0.8295480608940125
13,0.46666666865348816,0.9666670560836792,0.9666670560836792,0.46666666865348816,-0.20790895819664001,-0.20790895819664001,0.20791161060333252,0.20791161060333252,0.6830306053161621,0.3169713318347931,0.3169713318347931,0.6830306053161621
14,0.5,3.5762786865234375e-07,3.5762786865234375e-07,0.5,2.2470421754405834e-06,2.2470421754405834e-06,-8.742277657347586e-08,-8.742277657347586e-08,0.5,0.5000020265579224,0.5000020265579224,0.5
15,0.5333333611488342,0.03333369269967079,0.03333369269967079,0.5333333611488342,0.20791390538215637,0.20791390538215637,-0.20791201293468475,-0.20791201293468475,0.31696921586990356,0.6830324530601501,0.6830324530601501,0.31696921586990356
16,0.5666667222976685,0.06666702777147293,0.06666702777147293,0.5666667222976685,0.4067387282848358,0.4067387282848358,-0.40673694014549255,-0.40673694014549255,0.17045170068740845,0.8295494318008423,0.8295494318008423,0.17045170068740845
17,0.6000000834465027,0.10000036656856537,0.10000036656856537,0.6000000834465027,0.5877871513366699,0.5877871513366699,-0.5877857208251953,-0.5877857208251953,0.07656353712081909,0.9234369993209839,0.9234369993209839,0.07656353712081909
18,0.6333334445953369,0.1333336979150772,0.1333336979150772,0.6333334445953369,0.7431463599205017,0.7431463599205017,-0.7431454062461853,-0.7431454062461853,0.02840551733970642,0.9715946912765503,0.9715946912765503,0.02840551733970642
19,0.6666668057441711,0.16666702926158905,0.16666702926158905,0.6666668057441711,0.8660265803337097,0.8660265803337097,-0.8660259246826172,-0.8660259246826172,0.00863492488861084,0.9913651943206787,0.9913651943206787,0.00863492488861084
20,0.7000001668930054,0.2000003606081009,0.2000003606081009,0.7000001668930054,0.9510572552680969,0.9510572552680969,-0.9510568976402283,-0.9510568976402283,0.002146482467651367,0.9978535771369934,0.9978535771369934,0.002146482467651367
21,0.7333335280418396,0.23333369195461273,0.23333369195461273,0.7333335280418396,0.9945221543312073,0.9945221543312073,-0.9945220351219177,-0.9945220351219177,0.000498652458190918,0.9995014071464539,0.9995014071464539,0.000498652458190918
22,0.7666668891906738,0.26666703820228577,0.26666703820228577,0.7666668891906738,0.9945216178894043,0.9945216178894043,-0.9945217370986938,-0.9945217370986938,0.0004986822605133057,0.9995014071464539,0.9995014071464539,0.0004986822605133057
23,0.8000002503395081,0.3000003695487976,0.3000003695487976,0.8000002503395081,0.9510558247566223,0.9510558247566223,-0.9510560631752014,-0.9510560631752014,0.002146512269973755,0.9978534579277039,0.9978534579277039,0.002146512269973755
24,0.8333336114883423,0.33333370089530945,0.33333370089530945,0.8333336114883423,0.8660241961479187,0.8660241961479187,-0.8660244941711426,-0.8660244941711426,0.008635014295578003,0.9913649559020996,0.9913649559020996,0.008635014295578003
25,0.8666669726371765,0.3666670322418213,0.3666670322418213,0.8666669726371765,0.7431432008743286,0.7431432008743286,-0.7431434392929077,-0.7431434392929077,0.02840590476989746,0.9715940356254578,0.9715940356254578,0.02840590476989746
26,0.9000003337860107,0.40000036358833313,0.40000036358833313,0.9000003337860107,0.5877832770347595,0.5877832770347595,-0.5877833962440491,-0.5877833962440491,0.07656440138816833,0.9234355092048645,0.9234355092048645,0.07656440138816833
27,0.933333694934845,0.43333369493484497,0.43333369493484497,0.933333694934845,0.4067344069480896,0.4067344069480896,-0.40673431754112244,-0.40673431754112244,0.17045322060585022,0.8295468091964722,0.8295468091964722,0.17045322060585022
28,0.9666670560836792,0.4666670262813568,0.4666670262813568,0.9666670560836792,0.2079095095396042,0.2079095095396042,-0.20790895819664001,-0.20790895819664001,0.3169713318347931,0.6830288171768188,0.6830288171768188,0.3169713318347931
29,3.5762786865234375e-07,0.5000003576278687,0.5000003576278687,3.5762786865234375e-07,-2.233190116385231e-06,-2.233190116385231e-06,2.2470421754405834e-06,2.2470421754405834e-06,0.5000020265579224,0.49999797344207764,0.49999797344207764,0.5000020265579224
30,0.03333369269967079,0.5333337187767029,0.5333337187767029,0.03333369269967079,-0.20791411399841309,-0.20791411399841309,0.20791390538215637,0.20791390538215637,0.6830324530601501,0.3169673681259155,0.3169673681259155,0.6830324530601501
31,0.06666702777147293,0.5666670799255371,0.5666670799255371,0.06666702777147293,-0.40673914551734924,-0.40673914551734924,0.4067387282848358,0.4067387282848358,0.8295494318008423,0.17045044898986816,0.17045044898986816,0.8295494318008423
32,0.10000036656856537,0.6000004410743713,0.6000004410743713,0.10000036656856537,-0.5877876281738281,-0.5877876281738281,0.5877871513366699,0.5877871513366699,0.9234369993209839,0.07656282186508179,0.07656282186508179,0.9234369993209839
33,0.1333336979150772,0.6333338022232056,0.6333338022232056,0.1333336979150772,-0.7431468367576599,-0.7431468367576599,0.7431463599205017,0.7431463599205017,0.9715946912765503,0.02840515971183777,0.02840515971183777,0.9715946912765503
34,0.16666702926158905,0.6666671633720398,0.6666671633720398,0.16666702926158905,-0.8660271167755127,-0.8660271167755127,0.8660265803337097,0.8660265803337097,0.9913651943206787,0.008634746074676514,0.008634746074676514,0.9913651943206787
35,0.2000003606081009,0.700000524520874,0.700000524520874,0.2000003606081009,-0.951057493686676,-0.951057493686676,0.9510572552680969,0.9510572552680969,0.9978535771369934,0.002146422863006592,0.002146422863006592,0.9978535771369934
36,0.23333369195461273,0.7333338856697083,0.7333338856697083,0.23333369195461273,-0.9945222735404968,-0.9945222735404968,0.9945221543312073,0.9945221543312073,0.9995014071464539,0.000498652458190918,0.000498652458190918,0.9995014071464539
